"Date","Ouverture","DayOfYear","Year"
2023-01-02,6521.07,2,"2023"
2023-01-03,6580.09,3,"2023"
2023-01-04,6660.6,4,"2023"
2023-01-05,6744.5,5,"2023"
2023-01-06,6772.94,6,"2023"
2023-01-09,6861.59,9,"2023"
2023-01-10,6882.01,10,"2023"
2023-01-11,6879.1,11,"2023"
2023-01-12,6947.34,12,"2023"
2023-01-13,6989.59,13,"2023"
2023-01-16,7036.48,16,"2023"
2023-01-17,7036.91,17,"2023"
2023-01-18,7073.62,18,"2023"
2023-01-19,7047.64,19,"2023"
2023-01-20,6996.22,20,"2023"
2023-01-23,7014.91,23,"2023"
2023-01-24,7053.04,24,"2023"
2023-01-25,7057.82,25,"2023"
2023-01-26,7095.11,26,"2023"
2023-01-27,7085.47,27,"2023"
2023-01-30,7054.24,30,"2023"
2023-01-31,7075.09,31,"2023"
2023-02-01,7087.2,32,"2023"
2023-02-02,7110.03,33,"2023"
2023-02-03,7136.4,34,"2023"
2023-02-06,7181.97,37,"2023"
2023-02-07,7145.84,38,"2023"
2023-02-08,7181.58,39,"2023"
2023-02-09,7179.64,40,"2023"
2023-02-10,7165.41,41,"2023"
2023-02-13,7147.48,44,"2023"
2023-02-14,7225.3,45,"2023"
2023-02-15,7206.83,46,"2023"
2023-02-16,7346.3,47,"2023"
2023-02-17,7311.14,48,"2023"
2023-02-20,7361.21,51,"2023"
2023-02-21,7319.93,52,"2023"
2023-02-22,7282.49,53,"2023"
2023-02-23,7309.03,54,"2023"
2023-02-24,7359.76,55,"2023"
2023-02-27,7243.03,58,"2023"
2023-02-28,7253.54,59,"2023"
2023-03-01,7279.34,60,"2023"
2023-03-02,7176.41,61,"2023"
2023-03-03,7313.48,62,"2023"
2023-03-06,7385.75,65,"2023"
2023-03-07,7355.87,66,"2023"
2023-03-08,7305.92,67,"2023"
2023-03-09,7317.43,68,"2023"
2023-03-10,7193.37,69,"2023"
2023-03-13,7211.44,72,"2023"
2023-03-14,7029.22,73,"2023"
2023-03-15,7123.2,74,"2023"
2023-03-16,6987.63,75,"2023"
2023-03-17,7086.1,76,"2023"
2023-03-20,6900.9,79,"2023"
2023-03-21,7089.01,80,"2023"
2023-03-22,7105.32,81,"2023"
2023-03-23,7118.14,82,"2023"
2023-03-24,7108.16,83,"2023"
2023-03-27,7103.53,86,"2023"
2023-03-28,7145.66,87,"2023"
2023-03-29,7141.05,88,"2023"
2023-03-30,7222.69,89,"2023"
2023-03-31,7271.19,90,"2023"
2023-04-03,7341.69,93,"2023"
2023-04-04,7375.79,94,"2023"
2023-04-05,7350.03,95,"2023"
2023-04-06,7328.57,96,"2023"
2023-04-07,7366.594,97,"2023"
2023-04-10,7379.089,100,"2023"
2023-04-11,7381.77,101,"2023"
2023-04-12,7396.81,102,"2023"
2023-04-13,7450.76,103,"2023"
2023-04-14,7500.77,104,"2023"
2023-04-17,7535.39,107,"2023"
2023-04-18,7509,108,"2023"
2023-04-19,7530.54,109,"2023"
2023-04-20,7541.68,110,"2023"
2023-04-21,7551.5,111,"2023"
2023-04-24,7545.6,114,"2023"
2023-04-25,7528.15,115,"2023"
2023-04-26,7496.48,116,"2023"
2023-04-27,7450.1,117,"2023"
2023-04-28,7498.62,118,"2023"
